Plate Number,Date In,Date Out,Time In,Time Out
DVRF 873,2017-11-21,2017-11-30,1:30 PM,3:45 PM
BYUG 776,2017-11-13,2017-11-18,11:00 AM,12:35 AM
JA50N,2017-11-03,2017-11-16,1:23 PM,2:25 PM
DVRF 873,2017-10-05,2017-10-29,5:45 PM,2:18 PM
VNB 782,2017-10-27,2017-10-29,5:22 PM,12:13 PM
YNER 420,2017-10-28,2017-10-28,1:56 PM,3:35 PM
BYUG 776,2017-10-17,2017-10-19,10:42 AM,9:08 PM
JA50N,2017-10-19,2017-10-19,8:45 PM,11:30 AM
YNER 420,2017-10-10,2017-10-17,2:45 PM,3:20 PM
BYUG 776,2017-09-19,2017-10-11,1:38 PM,2:48 AM
FGQ 760,2017-09-17,2017-09-21,1:28 AM,12:26 PM
ERE 441,2017-09-10,2017-09-19,6:26 AM,2:09 PM
WHBR 565,2017-09-12,2017-09-16,1:25 PM,11:10 AM
ERE 441,2017-09-01,2017-09-06,7:55 AM,12:47 PM
JA50N,2017-08-29,2017-09-02,11:39 PM,12:20 AM
ERE 441,2017-08-10,2017-08-19,1:22 PM,11:38 AM
FGQ 760,2017-08-11,2017-08-18,2:46 PM,3:22 AM
DVRF 873,2017-08-12,2017-08-13,12:30 PM,1:30 AM
QVR 222,2017-07-19,2017-08-05,2:46 PM,12:32 PM
RTTU 221,2017-07-10,2017-07-28,11:09 PM,4:23 AM
YNER 420,2017-07-09,2017-07-22,11:20 AM,2:39 PM
VNB 782,2017-07-09,2017-07-19,2:27 AM,8:33 PM
RTTU 221,2017-07-15,2017-07-15,3:33 AM,9:46 PM
DVRF 873,2017-07-10,2017-07-14,1:30 PM,3:45 PM
BYUG 776,2017-07-11,2017-07-13,11:00 AM,12:35 AM
JA50N,2017-07-09,2017-07-09,1:23 PM,2:25 PM
DVRF 873,2017-07-08,2017-07-09,5:45 PM,2:18 PM
VNB 782,2017-07-01,2017-07-03,5:22 PM,12:13 PM
YNER 420,2017-06-27,2017-07-01,1:56 PM,3:35 PM
BYUG 776,2017-06-18,2017-06-30,10:42 AM,9:08 PM
JA50N,2017-06-12,2017-06-27,8:45 PM,11:30 AM
YNER 420,2017-06-02,2017-06-24,2:45 PM,3:20 PM
BYUG 776,2017-06-13,2017-06-20,1:38 PM,2:48 AM
FGQ 760,2017-06-19,2017-06-19,1:28 AM,12:26 PM
ERE 441,2017-06-08,2017-06-17,6:26 AM,2:09 PM
WHBR 565,2017-06-02,2017-06-10,1:25 PM,11:10 AM
ERE 441,2017-05-28,2017-06-04,7:55 AM,12:47 PM
JA50N,2017-05-22,2017-05-29,11:39 PM,12:20 AM
ERE 441,2017-05-21,2017-05-27,1:22 PM,11:38 AM
FGQ 760,2017-02-19,2017-05-21,2:46 PM,3:22 AM
DVRF 873,2017-05-08,2017-05-18,12:30 PM,1:30 AM
QVR 222,2017-05-12,2017-05-16,2:46 PM,12:32 PM
RTTU 221,2017-05-11,2017-05-13,11:09 PM,4:23 AM
YNER 420,2017-05-05,2017-05-09,11:20 AM,2:39 PM
VNB 782,2017-05-01,2017-05-01,2:27 AM,8:33 PM
RTTU 221,2017-04-27,2017-04-30,3:33 AM,9:46 PM
DVRF 873,2017-04-19,2017-04-28,1:30 PM,3:45 PM
BYUG 776,2017-04-19,2017-04-27,11:00 AM,12:35 AM
JA50N,2017-04-13,2017-04-18,1:23 PM,2:25 PM
DVRF 873,2017-04-10,2017-04-17,5:45 PM,2:18 PM
VNB 782,2017-04-04,2017-04-12,5:22 PM,12:13 PM
YNER 420,2017-04-10,2017-04-10,1:56 PM,3:35 PM
BYUG 776,2017-04-03,2017-04-08,10:42 AM,9:08 PM
JA50N,2017-03-29,2017-04-02,8:45 PM,11:30 AM
YNER 420,2017-03-25,2017-03-29,2:45 PM,3:20 PM
BYUG 776,2017-03-18,2017-03-26,1:38 PM,2:48 AM
FGQ 760,2017-03-10,2017-03-22,1:28 AM,12:26 PM
ERE 441,2017-03-11,2017-03-21,6:26 AM,2:09 PM
WHBR 565,2017-03-19,2017-03-20,1:25 PM,11:10 AM
ERE 441,2017-02-19,2017-03-12,7:55 AM,12:47 PM
JA50N,2017-03-02,2017-03-09,11:39 PM,12:20 AM
ERE 441,2017-03-01,2017-03-04,1:22 PM,11:38 AM
FGQ 760,2017-02-28,2017-03-01,2:46 PM,3:22 AM
DVRF 873,2017-02-02,2017-02-28,12:30 PM,1:30 AM
